,titulo_original,pais
6873,Puppet Master,United States of America
6875,Puppet Master II,United States of America
6877,Puppet Master III Toulon's Revenge,United States of America
6879,Puppet Master 4,United States of America
6880,Puppet Master 5: The Final Chapter,United States of America
6881,Curse of the Puppet Master,United States of America
6882,Retro Puppet Master,United States of America
6883,Benji,United States of America
6886,Benji the Hunted,United States of America
6889,For the Love of Benji,
6890,The Decline of Western Civilization,United States of America
6892,The Decline of Western Civilization Part II: The Metal Years,United States of America
6894,Per qualche dollaro in più,Italy
6895,Per qualche dollaro in più,Spain
6896,Per qualche dollaro in più,Germany
6900,Magnum Force,United States of America
6906,Porky's,United States of America
6907,Porky's,Canada
6910,Porky's II: The Next Day,Canada
6911,Porky's II: The Next Day,United States of America
6914,Porky's Revenge,Canada
6915,Porky's Revenge,United States of America
6920,Class of Nuke 'Em High,United States of America
6923,The Toxic Avenger,United States of America
6927,The Toxic Avenger Part II,United States of America
6933,The Toxic Avenger Part III: The Last Temptation of Toxie,United States of America
6937,Predator 2,United States of America
6949,Alien Nation,United States of America
6955,Mad Max,Australia
6967,Mad Max 2,Australia
6971,Mad Max Beyond Thunderdome,Australia
6974,Nine 1/2 Weeks,United States of America
6984,Firestarter,United States of America
7004,Shaft,United States of America
7012,Shaft,Germany
7060,F/X,United States of America
7066,F/X2,United States of America
7090,Missing in Action,United States of America
7098,Missing in Action 2: The Beginning,United States of America
7110,Braddock: Missing in Action III,United States of America
7118,The Golden Voyage of Sinbad,United Kingdom
7120,The Golden Voyage of Sinbad,United States of America
7134,House Party,United States of America
7136,House Party 2,United States of America
7137,Nekromantik,Germany
7139,Shaft in Africa,United States of America
7149,Shaft's Big Score!,United States of America
7157,Scary Movie,United States of America
7161,X-Men,United States of America
7179,劇場版ポケットモンスター 幻のポケモン ルギア爆誕,Japan
