,titulo_original,duracion,año_realizacion
8456,The Invisible Man,71.0,1933
8458,The Slumber Party Massacre,77.0,1982
8460,Slumber Party Massacre II,75.0,1987
8462,Slumber Party Massacre III,87.0,1990
8464,Sorority House Massacre,74.0,1986
8465,Sorority House Massacre II,80.0,1990
8468,Digimon: The Movie,82.0,2000
8500,Meet the Parents,108.0,2000
8508,Billy Jack,114.0,1971
8511,Billy Jack Goes to Washington,155.0,1977
8512,Ghoulies,81.0,1984
8515,Ghoulies II,89.0,1987
8519,醉拳二,102.0,1994
8523,Book of Shadows: Blair Witch 2,90.0,2000
8529,Charlie's Angels,98.0,2000
8554,Diamonds Are Forever,120.0,1971
8590,Rugrats in Paris: The Movie,78.0,2000
8614,102 Dalmatians,100.0,2000
8618,卧虎藏龙,120.0,2000
8746,Dungeons & Dragons,107.0,2000
8794,The Living Daylights,130.0,1987
8878,Wall Street,126.0,1987
8880,The Emperor's New Groove,78.0,2000
8890,Miss Congeniality,111.0,2000
8938,Dracula 2000,99.0,2000
8944,Annie,127.0,1982
8952,Save the Last Dance,112.0,2001
8960,Beverly Hills Cop II,100.0,1987
8969,Beverly Hills Cop,105.0,1984
8975,The Brave Little Toaster,90.0,1987
9011,Ernest Goes to Camp,92.0,1987
9015,The Evil Dead,85.0,1981
9016,Jaws: The Revenge,89.0,1987
9018,The Lost Boys,97.0,1987
9020,Mannequin,89.0,1987
9023,Left Behind,96.0,2000
9027,花樣年華,98.0,2000
9051,Hannibal,131.0,2001
9083,Recess: School's Out,83.0,2001
